CustomerID,CreditScore,CustomerClass
1,683,B
2,729,A
3,756,A
4,669,B
5,659,B
6,634,B
7,768,A
8,701,A
9,722,A
10,727,A
11,692,B
12,692,B
13,706,A
14,789,A
15,796,A
370,661,B
16,718,A
17,673,B
18,665,B
19,651,B
20,636,B
21,768,A
22,705,A
23,615,B
24,737,A
25,600,B
26,731,A
27,791,A
28,671,B
29,612,B
30,756,A
304,627,B
31,605,B
32,650,B
33,701,A
34,725,A
35,776,A
36,745,A
37,701,A
38,658,B
39,713,A
40,731,A
41,639,B
42,757,A
43,766,A
44,764,A
45,613,B
46,800,A+
47,774,A
48,777,A
49,750,A
50,652,B
51,752,A
52,757,A
53,650,B
54,650,B
55,735,A
56,677,B
57,637,B
58,769,A
176,606,B
59,644,B
60,678,B
61,756,A
62,750,A
63,633,B
64,624,B
65,678,B
66,792,A
67,686,B
68,755,A
69,733,A
70,634,B
71,764,A
72,749,A
73,640,B
74,700,A
75,683,B
76,650,B
77,630,B
78,618,B
79,683,B
80,789,A
81,722,A
82,685,B
83,687,B
84,800,A+
85,790,A
86,655,B
281,789,A
87,798,A
88,623,B
9,722,A
89,641,B
90,649,B
91,734,A
92,686,B
93,717,A
94,712,A
95,665,B
96,791,A
97,774,A
98,683,B
99,784,A
100,613,B
101,794,A
102,694,B
103,670,B
104,743,A
105,646,B
106,787,A
107,718,A
108,612,B
109,747,A
110,757,A
111,666,B
112,673,B
113,762,A
114,733,A
115,766,A
116,733,A
117,793,A
118,722,A
119,665,B
120,689,B
121,614,B
122,686,B
123,756,A
124,604,B
125,648,B
126,756,A
127,629,B
128,608,B
129,772,A
130,739,A
131,681,B
132,637,B
133,795,A
134,609,B
135,744,A
136,735,A
137,625,B
138,617,B
139,719,A
140,723,A
141,681,B
142,717,A
143,769,A
144,724,A
145,783,A
146,758,A
147,721,A
148,797,A
149,716,A
150,694,B
151,680,B
152,793,A
153,783,A
154,781,A
155,694,B
156,696,B
157,734,A
158,779,A
159,743,A
160,639,B
161,648,B
162,628,B
163,641,B
164,708,A
165,672,B
166,634,B
167,648,B
168,662,B
169,652,B
170,758,A
171,789,A
172,600,B
173,710,A
174,680,B
175,612,B
176,606,B
177,740,A
178,673,B
179,640,B
180,618,B
181,707,A
182,770,A
183,712,A
184,710,A
185,619,B
186,791,A
187,619,B
188,768,A
189,679,B
190,679,B
191,798,A
192,655,B
193,604,B
194,665,B
195,603,B
196,603,B
197,715,A
198,634,B
199,695,B
200,721,A
201,737,A
202,625,B
203,632,B
204,751,A
205,776,A
206,670,B
207,649,B
208,737,A
209,633,B
210,781,A
211,641,B
212,794,A
213,604,B
214,739,A
215,748,A
216,733,A
217,610,B
218,697,B
219,646,B
220,612,B
221,746,A
222,702,A
223,774,A
224,769,A
225,787,A
226,800,A+
227,706,A
228,653,B
229,741,A
230,669,B
231,779,A
232,725,A
233,688,B
234,630,B
235,611,B
236,796,A
237,692,B
238,602,B
239,751,A
240,605,B
241,771,A
242,631,B
243,651,B
244,793,A
245,721,A
246,662,B
247,643,B
248,662,B
249,743,A
250,786,A
251,726,A
252,675,B
253,618,B
254,751,A
255,709,A
256,698,B
257,645,B
258,711,A
259,791,A
888,708,A
260,627,B
261,643,B
262,758,A
263,790,A
264,703,A
265,796,A
266,682,B
267,650,B
268,658,B
269,670,B
270,725,A
271,799,A
272,605,B
273,799,A
274,785,A
275,652,B
276,651,B
277,693,B
278,718,A
279,614,B
280,778,A
281,789,A
282,786,A
283,778,A
284,601,B
14,789,A
285,749,A
286,798,A
287,734,A
288,697,B
289,709,A
290,634,B
291,628,B
292,678,B
293,663,B
294,739,A
295,764,A
296,603,B
297,622,B
298,773,A
299,631,B
300,621,B
301,641,B
302,608,B
303,644,B
304,627,B
305,614,B
306,672,B
307,614,B
308,779,A
309,639,B
310,759,A
311,748,A
312,737,A
313,733,A
314,666,B
315,637,B
316,762,A
317,721,A
318,717,A
319,752,A
320,772,A
321,692,B
322,736,A
323,683,B
324,681,B
325,775,A
326,767,A
327,684,B
328,687,B
329,640,B
330,717,A
331,615,B
332,784,A
333,744,A
334,754,A
335,690,B
336,725,A
337,626,B
338,632,B
339,672,B
340,685,B
341,778,A
342,743,A
343,714,A
344,643,B
345,661,B
346,797,A
347,634,B
348,758,A
349,630,B
350,777,A
351,769,A
352,605,B
353,730,A
354,708,A
355,665,B
356,604,B
357,785,A
358,715,A
359,789,A
360,629,B
361,649,B
362,701,A
363,740,A
364,650,B
365,649,B
366,722,A
367,726,A
368,653,B
369,725,A
370,661,B
371,746,A
372,662,B
373,723,A
374,615,B
375,765,A
376,730,A
377,692,B
378,611,B
379,691,B
380,748,A
381,784,A
382,664,B
383,637,B
384,796,A
385,631,B
386,775,A
387,763,A
388,754,A
389,603,B
687,739,A
390,626,B
391,701,A
392,659,B
393,634,B
394,690,B
395,726,A
396,787,A
397,631,B
398,772,A
399,705,A
400,779,A
401,708,A
402,767,A
403,680,B
404,731,A
405,720,A
406,742,A
999,635,B
407,770,A
408,664,B
409,611,B
410,704,A
411,668,B
412,656,B
413,782,A
414,767,A
415,794,A
416,659,B
417,609,B
418,706,A
419,633,B
420,735,A
421,765,A
422,795,A
423,691,B
424,668,B
425,771,A
426,733,A
427,631,B
428,646,B
429,643,B
430,713,A
431,745,A
432,635,B
433,669,B
434,727,A
435,602,B
436,620,B
437,771,A
438,693,B
439,636,B
440,631,B
441,621,B
442,698,B
443,663,B
444,728,A
445,670,B
446,679,B
447,721,A
448,626,B
449,795,A
450,678,B
451,665,B
452,772,A
453,730,A
454,610,B
455,677,B
456,792,A
457,701,A
458,657,B
459,775,A
460,760,A
461,655,B
462,736,A
463,717,A
464,635,B
465,621,B
466,627,B
467,772,A
468,614,B
469,690,B
470,619,B
471,678,B
472,756,A
473,681,B
474,761,A
475,638,B
476,644,B
477,659,B
478,625,B
479,628,B
480,712,A
481,716,A
482,778,A
483,692,B
484,764,A
485,614,B
486,664,B
487,653,B
488,681,B
489,732,A
490,755,A
491,670,B
492,757,A
493,737,A
494,635,B
495,638,B
496,648,B
497,726,A
498,772,A
499,716,A
500,795,A
501,677,B
502,796,A
503,786,A
504,605,B
505,658,B
506,726,A
507,683,B
508,629,B
509,627,B
510,680,B
511,614,B
512,649,B
513,720,A
514,771,A
515,656,B
516,682,B
517,620,B
518,652,B
519,673,B
520,645,B
521,744,A
522,670,B
523,790,A
524,695,B
525,706,A
526,685,B
527,798,A
528,653,B
529,720,A
530,668,B
531,639,B
532,722,A
533,633,B
534,716,A
535,790,A
536,620,B
537,670,B
538,660,B
539,662,B
540,619,B
541,650,B
542,611,B
543,742,A
544,758,A
545,793,A
546,683,B
547,618,B
548,746,A
549,634,B
550,600,B
551,663,B
552,719,A
553,800,A+
554,624,B
555,711,A
556,698,B
557,681,B
558,699,B
559,790,A
560,693,B
561,700,A
562,651,B
563,785,A
564,689,B
565,782,A
566,796,A
567,703,A
568,738,A
569,675,B
570,751,A
571,731,A
572,731,A
573,654,B
574,661,B
575,705,A
576,725,A
577,793,A
578,646,B
579,615,B
580,783,A
581,717,A
582,778,A
583,768,A
584,660,B
585,697,B
586,726,A
587,763,A
588,676,B
589,759,A
590,690,B
591,766,A
592,791,A
593,761,A
594,611,B
595,675,B
596,780,A
597,775,A
598,664,B
599,784,A
600,674,B
601,654,B
602,714,A
603,628,B
604,754,A
605,769,A
606,618,B
607,602,B
608,699,B
609,753,A
610,748,A
611,791,A
612,790,A
613,628,B
614,764,A
615,604,B
616,659,B
617,622,B
618,665,B
619,619,B
620,674,B
621,663,B
622,736,A
160,639,B
623,752,A
624,612,B
625,642,B
626,773,A
627,713,A
628,778,A
629,685,B
630,720,A
631,649,B
632,773,A
633,691,B
634,698,B
635,732,A
636,608,B
637,608,B
638,662,B
639,640,B
640,731,A
641,741,A
642,644,B
643,791,A
644,662,B
645,779,A
646,719,A
647,632,B
648,679,B
649,798,A
650,688,B
651,754,A
652,618,B
653,791,A
654,737,A
655,793,A
656,760,A
657,732,A
658,720,A
659,765,A
660,767,A
661,635,B
662,619,B
663,778,A
664,790,A
665,758,A
666,685,B
667,729,A
668,679,B
669,756,A
670,655,B
671,745,A
672,684,B
673,681,B
674,664,B
675,606,B
676,643,B
677,656,B
678,706,A
679,715,A
680,670,B
681,626,B
682,721,A
683,640,B
684,658,B
630,720,A
685,626,B
686,634,B
687,739,A
688,710,A
689,647,B
690,629,B
691,741,A
692,800,A+
693,605,B
694,612,B
695,650,B
696,791,A
697,606,B
698,791,A
699,796,A
700,784,A
701,752,A
702,760,A
703,671,B
704,691,B
705,691,B
706,703,A
707,773,A
708,605,B
709,725,A
710,782,A
711,746,A
712,626,B
713,732,A
714,689,B
715,713,A
716,717,A
717,606,B
718,652,B
719,734,A
720,706,A
721,603,B
722,693,B
723,722,A
724,774,A
725,781,A
726,735,A
727,789,A
728,685,B
501,677,B
729,691,B
730,633,B
731,634,B
732,630,B
733,777,A
734,720,A
735,605,B
736,687,B
737,756,A
738,603,B
739,752,A
740,655,B
741,799,A
742,743,A
743,729,A
744,675,B
745,624,B
746,662,B
747,792,A
748,685,B
749,763,A
750,710,A
751,671,B
752,730,A
753,665,B
754,678,B
755,793,A
756,751,A
757,661,B
758,628,B
759,627,B
760,787,A
761,745,A
762,688,B
763,733,A
764,779,A
765,748,A
766,765,A
767,616,B
768,681,B
769,757,A
770,617,B
771,749,A
772,691,B
773,690,B
774,675,B
775,607,B
776,777,A
777,669,B
778,630,B
779,723,A
780,732,A
781,751,A
782,737,A
783,751,A
784,702,A
785,725,A
786,721,A
787,648,B
788,652,B
789,728,A
790,780,A
791,646,B
792,773,A
793,725,A
794,763,A
795,772,A
796,777,A
797,749,A
798,663,B
799,695,B
800,785,A
801,763,A
802,655,B
803,653,B
804,765,A
805,612,B
806,630,B
807,641,B
808,684,B
809,738,A
810,679,B
811,662,B
812,791,A
813,742,A
98,683,B
814,720,A
815,619,B
816,734,A
817,708,A
818,727,A
819,684,B
820,745,A
821,728,A
822,689,B
823,716,A
824,608,B
825,666,B
826,740,A
827,607,B
828,786,A
829,618,B
830,600,B
831,685,B
832,723,A
833,612,B
834,628,B
835,670,B
836,604,B
837,762,A
838,609,B
839,653,B
840,678,B
841,765,A
842,725,A
843,601,B
844,607,B
845,740,A
846,796,A
847,790,A
848,635,B
849,692,B
850,686,B
851,642,B
852,628,B
853,606,B
854,780,A
855,778,A
856,771,A
857,604,B
858,600,B
859,652,B
860,663,B
861,612,B
862,665,B
863,695,B
864,628,B
865,700,A
866,608,B
867,634,B
868,799,A
869,713,A
870,745,A
871,780,A
872,603,B
873,633,B
874,730,A
875,652,B
876,643,B
877,703,A
878,796,A
879,621,B
880,610,B
881,708,A
882,788,A
883,635,B
884,650,B
885,795,A
886,644,B
887,668,B
888,708,A
889,670,B
890,655,B
891,651,B
892,712,A
893,760,A
894,650,B
895,617,B
896,771,A
897,607,B
898,616,B
899,735,A
900,609,B
901,796,A
902,617,B
903,645,B
904,722,A
905,655,B
906,601,B
907,636,B
908,633,B
909,765,A
910,699,B
911,786,A
912,764,A
913,693,B
914,602,B
915,767,A
916,702,A
917,677,B
918,655,B
919,607,B
920,634,B
921,727,A
922,641,B
923,798,A
924,610,B
925,665,B
926,617,B
927,782,A
928,657,B
929,749,A
930,791,A
931,644,B
932,797,A
933,681,B
934,669,B
935,697,B
936,642,B
937,713,A
938,738,A
939,610,B
940,660,B
941,674,B
942,691,B
943,748,A
944,755,A
945,674,B
946,746,A
947,686,B
948,623,B
949,715,A
950,705,A
951,790,A
952,659,B
953,734,A
954,800,A+
955,743,A
956,773,A
957,763,A
958,775,A
959,653,B
960,767,A
961,692,B
962,751,A
963,614,B
964,724,A
965,711,A
966,607,B
967,765,A
968,616,B
969,646,B
970,691,B
971,786,A
972,601,B
973,719,A
974,721,A
975,726,A
976,600,B
977,608,B
978,683,B
979,700,A
980,729,A
981,704,A
982,785,A
983,613,B
984,710,A
985,657,B
957,763,A
986,631,B
987,736,A
988,778,A
989,612,B
990,641,B
991,776,A
992,678,B
993,795,A
994,612,B
995,792,A
996,667,B
997,697,B
998,665,B
999,635,B
1000,605,B
